DIA_TRANSPORTE,"NOMBRE_EMPRESA","LINEA","AMBA","TIPO_TRANSPORTE","JURISDICCION","PROVINCIA","MUNICIPIO",CANTIDAD,"DATO_PRELIMINAR"
2026-01-01,"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278","BSAS_LINEA_281","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",4366,"NO"
2026-01-01,"CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL","BSAS_LINEA_283","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",5156,"NO"
2026-01-01,"ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I","BSAS_LINEA_284","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",135,"NO"
2026-01-01,"TRANSPORTES LA PERLITA S.A. ","BSAS_LINEA_288","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",2296,"NO"
2026-01-01,"COMPAÑIA NOROESTE S.A.T.","BSAS_LINEA_289","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1161,"NO"
2026-01-01,"LA CENTRAL DE ESCOBAR SA","BSAS_LINEA_291","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",4039,"NO"
2026-01-01,"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278","BSAS_LINEA_293A","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1387,"NO"
2026-01-01,"EXPRESO VILLA GALICIA  SAN JOSE S.A.","BSAS_LINEA_293B","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",3101,"NO"
2026-01-01,"MICRO OMNIBUS O´HIGGINS S.A.T.","BSAS_LINEA_295","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",2303,"NO"
2026-01-01,"TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.","BSAS_LINEA_297","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",3435,"NO"
2026-01-01,"LA CABAÑA S.A.","BSAS_LINEA_298","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",2844,"NO"
2026-01-01,"GENERAL TOMAS GUIDO S.A.C.I.F.","BSAS_LINEA_299","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1767,"NO"
2026-01-01,"MICRO OMNIBUS QUILMES S.A.C.I. Y F.","BSAS_LINEA_300","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",696,"NO"
2026-01-01,"COMPAÑIA NOROESTE S.A.T.","BSAS_LINEA_304","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",2432,"NO"
2026-01-01,"EXPRESO ESTEBAN ECHEVERRIA S.R.L.","BSAS_LINEA_306","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",8118,"NO"
2026-01-01,"EMPRESA LINEA SIETE SAT","BSAS_LINEA_307","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",3897,"NO"
2026-01-01,"ROCARAZA S.A.","BSAS_LINEA_31","SI","COLECTIVO","NACIONAL","JN","SD",6693,"NO"
2026-01-01,"COMPAÑIA ISLEÑA S.R.L.","BSAS_LINEA_310","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",122,"NO"
2026-01-01,"TRANSPORTES LA PERLITA S.A. ","BSAS_LINEA_311","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",3604,"NO"
2026-01-01,"TRANSPORTES LA PERLITA S.A. ","BSAS_LINEA_312","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1625,"NO"
2026-01-01,"RUTA BUS S.A.","BSAS_LINEA_313","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",319,"NO"
2026-01-01,"LA PRIMERA DE MARTINEZ S.A","BSAS_LINEA_314","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",2980,"NO"
2026-01-01,"LA PRIMERA DE GRAND BOURG S.A.","BSAS_LINEA_315","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",4592,"NO"
2026-01-01,"LA CABAÑA S.A.","BSAS_LINEA_317","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",2398,"NO"
2026-01-01,"MICRO OMNIBUS MITRE S.A.","BSAS_LINEA_318","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",6507,"NO"
2026-01-01,"EMPRESA DEL OESTE SAT","BSAS_LINEA_320","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",410,"NO"
2026-01-01,"MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.","BSAS_LINEA_321","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",1228,"NO"
2026-01-01,"LIBERTADOR SAN MARTIN SAT","BSAS_LINEA_322","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",2312,"NO"
2026-01-01,"COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278","BSAS_LINEA_323","SI","COLECTIVO","PROVINCIAL","BUENOS AIRES","SN",3180,"NO"
